Text,Environmental Negative,Environmental Neutral,Environmental Positive,Governance Negative,Governance Neutral,Governance Positive,Social Negative,Social Neutral,Social Positive,__index_level_0__
Your Board expects Chevron’s management to continue acting in the best interests of the Company’s stockholders by vigorously defending the Company against this fraudulent action.,0,0,0,0,0,1,0,0,0,305
"Chevron uses long-term energy demand scenarios and a range of commodity prices to test its portfolio, guide investment strategies, and evaluate business risks to ensure it can deliver results under a range of potential futures.",0,0,0,0,0,1,0,0,0,360
"The Board’s Public Policy Committee monitors social, political, environmental, human rights, and public policy aspects of Chevron’s business and the communities in which it operates.",0,0,0,0,0,1,0,0,1,216
Chevron also engages through its various trade associations to ensure the development of well-designed climate policy.,0,0,1,0,0,1,0,0,0,128
"Under oath, Deputy Controller Rex Mitchell testified that such seizure of Company assets: “would cause significant, irreparable damage to Chevron’s business reputation and business relationships.”",0,0,0,0,1,0,0,0,0,238
"In spite of these risks, CPChem has accelerated its petrochemical activity in the Gulf Coast, investing heavily to expand in flood-prone areas of Texas.",1,0,0,1,0,0,0,0,0,156
"Chevron’s operations, discharges, and leaks disproportionately burden communities of color with pollution and human health risks.",1,0,0,0,0,0,1,0,0,628
"Given strong independent Board oversight of the CEO and management and the Company’s corporate governance practices, including an empowered and effective independent Lead Director, your Board does not believe that a fixed policy requiring an independent Chairman is in the best interests of stockholders.",0,0,0,0,0,1,0,0,0,308
"Information about Chevron’s political contributions, lobbying philosophy and oversight mechanisms.",0,0,0,0,0,1,0,0,0,29
"Supporting Statement: This Report might include:	
The extent and nature of community consultation to inform its analysis; and Assessment of impacts on environmental justice communities.",0,0,1,0,0,0,0,0,1,181
"A racial equity audit would help Chevron identify, prioritize, remedy, and avoid adverse impacts on people of color while reducing reputational risk and liabilities.",0,0,0,0,0,1,0,0,1,638
"2. Payments by Chevron used for (a) direct or indirect lobbying or (b) grassroots lobbying communications, in each case including the amount of the payment and the recipient.",0,0,0,0,1,0,0,0,0,398
Chevron believes it is essential to engage with policymakers and express the Company’s views on pending policy proposals through direct and indirect lobbying and participation in a diverse range of business and policy organizations that advocate for free markets and responsible energy legislation and regulations.,0,0,0,0,0,1,0,0,0,423
"Accordingly, your Board does not believe the report requested in the Proposal is necessary.",0,0,0,1,0,0,0,0,0,618
Chevron asserts that 'several international courts have determined the Ecuadorian Judgment to be fraudulent.',0,0,0,0,0,1,0,1,0,657
The Management Compensation Committee assesses and approves the incorporation of greenhouse gas–related performance measures into the scorecard that affects the compensation of management and most employees.,0,0,1,0,0,1,0,1,0,87
"Chevron has supported lobbying and trade associations that spread dis-information on climate science and policy, such as the American Legislative Exchange Council (“ALEC”) and the American Petroleum Institute (“API”).",1,0,0,1,0,0,0,0,0,464
"The Public Policy Committee (“PPC”) periodically assesses and advises on risks that may arise in connection with social, political, environmental and public policy aspects of Chevron’s business.",0,1,0,0,0,1,0,1,0,82
"more than 70% of listed companies, representing some of the world’s largest carbon-polluters, are not fully accounting for climate-related risks in their financial statements.",0,0,0,1,0,0,0,0,0,557
"The charter should explicitly require the committee to report to the full board on corporate strategy, above and beyond matters of legal compliance, assessing the company’s responses to climate related risks and opportunities, including the potential impacts of climate change on business, strategy, financial planning, and our company’s operating environment.",0,0,1,0,0,1,0,0,0,50
"The proposal relates to the activities of Chevron Phillips Chemical, a stand-alone enterprise in which Chevron owns a 50 percent interest.",0,0,0,0,1,0,0,0,0,166
The International Energy Agency’s (IEA) Net Zero Scenario describes an energy sector pathway to achieve net zero emissions.,0,0,1,0,0,0,0,0,0,555
"We, the shareholders, understand this support to be essential in protecting all our assets in the global economy from devastating climate change.",0,0,1,0,0,0,0,0,0,527
"Your Board believes that the vision and values of The Chevron Way, along with Chevron’s Business Conduct and Ethics Code, Human Rights Policy, OEMS, Enterprise Risk Management process, and Corporate Sustainability Report all provide robust information and documentation of Chevron’s approach and actions on racial equity and related issues.",0,0,1,0,0,1,0,0,1,650
"Your Board believes, and several prominent courts and international tribunals have now confirmed, that the Ecuador litigation is the product of fraud, extortion, and bribery.",0,0,0,1,0,0,0,0,0,261
Long-standing practices developed to manage these impacts are applied and extended to reflect possible effects of climate change and to ensure the ongoing resilience of the Company’s infrastructure.,0,0,1,0,0,0,0,0,0,163
Outside experts with sharply differing viewpoints enable your Board to consider the risks and opportunities arising from climate change.,0,0,0,0,0,1,0,0,0,77
"The United Nations Environment Programme Finance Initiative and Principles for Responsible Investment reports in the paper “Universal Ownership” that over 50 percent of companies’ earnings are at risk from climate costs, creating systemic risk for diversified investors.",1,0,0,0,1,0,0,0,0,376
"Guided by The Chevron Way, Chevron conducts its business responsibly, providing energy that is essential to human progress while benefiting the communities where the Company operates.",0,0,0,0,0,0,0,0,1,203
"Instead of negotiating an expedient, fair, and comprehensive settlement with the affected communities in Ecuador, Chevron pursued a costly legal strategy that lasted for more than two decades.",0,0,0,1,0,0,0,0,0,499
"Wherever we operate, we work to support local communities with basic human needs, including healthcare, education, and energy.",0,0,0,0,0,0,0,0,1,616
"For example, as a global energy company that negotiates concessions and leases with host-country governments around the world, we believe it is generally advantageous to the Company for the CEO to represent the Chevron Board as its Chairman in such dialogues.",0,0,0,0,0,1,0,0,0,472
"Engaging only with groups that already align with Chevron’s positions would undermine the Company’s ability to build and expand coalitions in support of its positions, including Chevron’s support for well-designed climate policy.",0,0,1,0,0,1,0,0,0,132
Your Board continues to believe that Chevron’s 15% threshold ensures that a reasonable number of stockholders consider a matter important enough to merit a special meeting.,0,0,0,0,0,1,0,0,0,668
Chevron has acknowledged the serious risk enforcement of the $9.5 billion judgment represents.,0,0,0,0,1,0,0,0,0,237
"In 2019, the Company updated its Human Rights Policy to more clearly state its continuing support for international human rights, including its commitment to respect the principles set out in the United Nations Universal Declaration of Human Rights, and in the International Labor Organization Declaration on Fundamental Principles and Rights at Work, and its commitment to adhere to the United Nations Guiding Principles on Business and Human Rights, the Voluntary Principles on Security and Human Rights, and the International Finance Corporation’s Performance Standards.",0,0,0,0,0,1,0,0,1,206
"In addition, Chevron exercises its right to participate in the political process by making contributions to candidates and entities supportive of the oil and gas industry and a reasonable regulatory environment.",0,0,0,0,0,1,0,0,0,121
"They also review policies, procedures, and expenditures for political activities.",0,0,0,0,0,1,0,0,0,441
"The Chevron Way explains our beliefs, vision, purpose, and values. It guides how we work and establishes a common understanding of our culture and aspirations. Diversity and inclusion are the first among our Chevron Way values.",0,0,0,0,0,0,0,0,1,644
"OE is a global framework to manage the health and safety of Chevron Phillips Chemical’s employees, contractors, facilities, and communities.",0,0,0,0,0,1,0,0,1,169
Chevron does not disclose its payments to trade associations nor amounts used for lobbying.,0,0,0,1,0,0,0,0,0,411
"The tribunal concluded that as a matter of international law, the judgment “should not be recognized or enforced by the courts of other States.”",0,0,0,1,0,0,0,0,0,519
Your Board believes that Chevron and its stockholders benefit from the resulting unity of leadership and companywide strategic alignment.,0,0,0,0,0,1,0,0,0,471
"As part of each Board meeting, the independent Directors meet in executive session without members of management present.",0,0,0,0,0,1,0,0,0,477
"Your Board believes it would not be a responsible use of Company resources to produce a further report to address a speculative scenario, as the Proposal requests.",0,0,0,1,0,0,0,0,0,575
"All three subsequently adjusted critical accounting assumptions, resulting in material impairments, and disclosed how climate change affected the adjustments.",1,0,0,0,0,1,0,0,0,353
"We, the shareholders, must protect our assets against devastating climate change, and we therefore support companies to substantially reduce greenhouse gas (GHG) emissions.",0,0,1,0,0,1,0,0,0,523
THEREFORE: Please vote FOR this common-sense governance enhancement.,0,0,0,0,0,1,0,0,0,287
"We believe that inadequate board oversight has led to management mishandling of a number of issues, which has increased both risk and cost to stockholders.",0,0,0,1,0,0,0,0,0,272
"The report should exclude confidential and proprietary information, as well as information relevant to any pending legal proceeding or threatened proceeding of which Chevron has notice.",0,0,0,0,1,0,0,0,0,622
"Of particular concern are the trade associations and other politically active organizations that speak for business but, unfortunately, too often present forceful obstacles to progress in addressing the climate crisis.",1,0,0,1,0,0,1,0,0,102
"Investors request the company assess, among other related issues at management and Board discretion: The adequacy of measures the company is employing to prevent public health impacts from associated chemical releases.",1,0,0,0,0,1,0,0,0,142
"Chevron lobbies ethically, constructively, and in a non-partisan manner.",0,0,0,0,0,1,0,0,0,424
"In doing so, Chevron works to ensure that such policy aligns with Chevron’s Climate Principles of encouraging global engagement, striking a balanced and measured approach, supporting research and innovation, and providing transparency for consumers.",0,0,1,0,0,1,0,0,0,129
The 15 percent threshold helps avoid waste of Company and stockholder resources to address narrow or special interests.,0,0,0,0,0,1,0,0,0,249
"Yet, the $9.5 billion Ecuadorian judgment against Chevron has been thoroughly discredited by every court and tribunal outside Ecuador that has reviewed the matter.",0,0,0,1,0,0,0,0,0,482
"While Chevron has a Human Rights Policy and Operational Excellence Management System, investors are unable to assess the effectiveness of these systems in identifying risks, ensuring meaningful stakeholder engagement, reducing negative impacts on communities and the environment, and provision of remedy.",0,0,0,1,0,0,1,0,0,194
"Finally, plaintiffs’ recognition and enforcement proceedings outside Ecuador have failed in every jurisdiction in which they have been attempted to date, including Argentina, Brazil and Canada.",0,0,0,0,0,1,0,0,0,267
Preparing for and holding a special meeting is time-consuming and expensive.,0,0,0,0,1,0,0,0,0,669
"In the US, three of these climate resolutions passed with a historic majority.",0,0,1,0,0,0,0,0,0,533
Chevron’s actions in support of racial equity are described in detail in numerous publications:,0,0,0,0,0,1,0,0,1,643
"We could reduce our GHG emissions by changing our portfolio and selling our emissions-producing assets, but that would not serve our stockholders, who benefit from our strong asset base.",0,0,0,0,0,1,0,0,0,541
All of Chevron’s political and lobbying activities are subject to thorough review and oversight.,0,0,0,0,0,1,0,0,0,438
"Discharge or leaks from Chevron’s operations may impact human health and the environment, and affected communities may not be adequately consulted or informed of risks.",1,0,0,0,0,0,1,0,0,186
"Currently, the Board has appointed Michael K. Wirth to serve as CEO and as Chairman of the Board.",0,0,0,0,0,1,0,0,0,470
"Your Board agrees with Proponents that Chevron must protect its free speech rights and rights to engage on issues important to its business, and in which it has expertise.",0,0,0,0,0,1,0,0,0,10
"Similarly, in a separate action, on August 30, 2018, an international tribunal administered by the Permanent Court of Arbitration in The Hague issued a unanimous award in favor of Chevron, finding that the Ecuadorian judgment was procured through fraud, bribery, and corruption, and that it was based exclusively on environmental claims settled and released by the Republic of Ecuador years earlier.",0,0,0,0,0,1,0,0,0,265
"In 2010, stockholders representing approximately 80 percent of Chevron’s common stock outstanding approved an amendment to Chevron’s By-Laws that permits stockholders owning 15 percent of Chevron’s outstanding common stock to call for a special meeting.",0,0,0,0,0,1,0,0,0,245
We would not be fulfilling our fiduciary duty if we were to base our decisions on what a particular constituency believes the appropriate exercise of these fundamental rights to be.,0,0,0,0,0,1,0,0,0,136
The report shall be presented to the Public Policy Committee and posted on Chevron’s website.,0,0,0,0,1,0,0,0,0,403
Chevron does this with the highest ethical standards and in compliance with all laws governing lobbying activities and disclosure.,0,0,0,0,0,1,0,0,0,422
"If the Board determines that a Chair who was independent when selected is no longer independent, within a reasonable period it shall select a new Chair who satisfies the requirements of this policy. Compliance with this policy can be waived if no independent director is available and willing to serve as Chair.",0,0,0,0,0,1,0,0,0,271
THEREFORE: Vote FOR this common-sense governance enhancement that would improve shareholder communication and protect shareholder value.,0,0,0,0,0,1,0,0,0,242
"Under the By-Laws, a special meeting cannot be called:",0,0,0,0,1,0,0,0,0,670
"The Audit Committee analyzes potential financial risk exposures as part of Chevron’s enterprise risk management program, including potential financial risks associated with climate change.",0,1,0,0,0,1,0,1,0,85
"In contrast, the audit reports for other high GHG-emitting companies clearly discussed this connection.",0,0,0,0,0,1,0,0,0,348
"Stockholders can be assured that their right to be apprised of and vote on significant matters is protected not only by their existing right to call for special meetings and participate in Chevron’s Annual Meetings, but also by state law and other regulations.",0,0,0,0,0,1,0,0,0,512
"Two hundred institutional investors managing $6.5 trillion recently wrote to Chevron, seeking information on how the company is managing this critical governance issue.",0,0,0,0,0,1,0,0,0,106
"Over 60% of publicly reported abuses from Chevron’s operations impacted Indigenous Peoples, including violation of land rights, allegations of genocide, violence against Indigenous women, and widespread environmental damage and human rights violations in Ecuador, Indonesia, Nigeria, and the United States.",1,0,0,0,0,0,1,0,0,635
"The Company leverages its capabilities, assets, and expertise to focus on these three action areas that aim to deliver measurable progress: (1) lower carbon intensity cost efficiently, (2) increase renewables and offsets in support of our own business, and (3) invest in low-carbon technologies to enable commercial solutions.",0,0,1,0,0,1,0,0,0,330
"Insufficient information is presently available to help investors understand whether Chevron works to ensure that its lobbying activities, directly, in the company’s name, and indirectly, through trade associations, align with the Paris Agreement’s goals, and whether Chevron takes any action to address any misalignments it has found.",0,0,0,1,0,0,0,0,0,107
"Rather, we report and disclose in accordance with U.S. GAAP and are audited in accordance with the standards of the Public Company Accounting Oversight Board.",0,0,0,0,0,1,0,0,0,572
"Chevron has developed the Portfolio Carbon Intensity (“PCI”) methodology, which we believe addresses the interests of stakeholders wanting comparable metrics that address Scopes 1, 2 and 3 emissions.",0,0,1,0,0,0,0,0,0,544
"Chevron adheres to the highest ethical standards when engaging in lobbying and political activities, ensures that such activities align with corporate goals, and complies with all laws and regulations governing lobbying activities and disclosure.",0,0,0,0,0,1,0,0,0,23
"Partnerships in health, education, and economic development advance progress and strengthen communities.",0,0,0,0,0,0,0,0,1,384
"Deputy Controller Rex Mitchell testified, under oath, that such seizures of Company assets “would cause significant, irreparable damage to Chevron’s business reputation and business relationships.”",0,0,0,1,0,0,0,0,0,277
These reports disclose total expenditures related to lobbying and issues lobbied.,0,0,0,0,0,1,0,0,0,34
"The role of the Lead Director is highly empowered, as described in the “Independent Lead Director” section of this Proxy Statement on page 22.",0,0,0,0,0,1,0,0,0,475
"The Board’s Public Policy and Sustainability Committee monitors the social, political, environmental, human rights, and public policy aspects of Chevron’s business and the communities in which it operates.",0,0,1,0,0,1,0,0,1,393
"Chevron is also listed on the New York Stock Exchange (“NYSE”), and the NYSE requires, among other things, that listed companies obtain stockholder approval for equity compensation plans and significant issuances of equity securities to related parties and for when such issuances represent more than 20 percent of an issuer’s voting power.",0,0,0,0,0,1,0,0,0,257
"Chevron does so by engaging with policymakers and expressing its views on pending policy proposals, by engaging in direct and indirect lobbying, and by participating in a diverse range of business and policy organizations that advocate positions supporting free markets and responsible energy legislation and regulations.",0,1,0,0,0,1,0,0,0,19
"The Company’s lobbying activities in the United States are strictly regulated by federal, state, and local lobbying laws.",0,0,0,0,0,1,0,0,0,26
BP: how climate change and a global energy transition impacted the capitalization of exploration and appraisal costs and risks that oil and gas price assumptions could lead to financial misstatements.,1,0,0,0,0,1,0,0,0,349
"1. Company policy and procedures governing lobbying, both direct and indirect, and grassroots lobbying communications.",0,0,0,0,1,0,0,0,0,397
"In addition, the Company discloses a full list of trade associations with annual dues of more than $100,000 wherein a portion of the dues may be used for lobbying.",0,0,0,0,0,1,0,0,0,13
"The proposal purports to relate to special meetings, its supporting statement shows that it is a vehicle to discuss the Ecuador litigation and related actions against Chevron.",0,0,0,1,0,0,0,0,0,515
"This approach ensures Chevron is accountable for all Upstream GHG emissions, irrespective of who is the operator, unlike many others who account only for emissions from a subset of assets in which they have invested.",0,0,1,0,0,0,0,0,0,327
"However, the proponent’s supporting statement contains references to legal actions and allegations of impacts from the Company’s operations that are inaccurate, misleading and, in some cases, contrary to final judgments.",0,0,0,1,0,0,1,0,0,201
Whereas: Board oversight of climate change strategy and planning is essential to address the existential threat of climate change to the fossil fuel industry and our Company.,0,0,1,0,0,1,0,0,0,59
Chevron has a strong corporate governance structure to enable the Company to meet the rising expectations of stakeholders.,0,0,0,0,0,1,0,0,0,390
Your Board shares the proponent’s stated concern for human rights.,0,0,0,0,0,1,0,0,1,200
"Chevron does not agree with all of the positions of every industry, trade or policy organization in which it participates.",0,0,0,0,1,0,0,0,0,21
"As another example, Chevron recently updated the Chevron Engineering Standard for Metocean Design and Operating Conditions based on the assessment of future potential impacts to Chevron’s marine facilities, such as potential changes in storm intensity, changes to sea level and changing water currents.",0,0,1,0,0,0,0,0,0,165
"Given Chevron’s current disclosures and robust strategy, planning, and risk management processes, your Board believes that the requested report is unnecessary.",0,0,0,0,0,1,0,0,0,371
This information is confidential and competitively sensitive.,0,0,0,0,1,0,0,0,0,570
"To allow maximum flexibility, nothing in this resolution shall serve to micromanage the Company by seeking to impose methods for implementing complex policies in place of the ongoing judgement of management as overseen by its board of directors.",0,0,0,0,1,0,0,0,0,311
"Chevron does not agree with all positions of every industry, trade, or policy organization in which it participates.",0,0,0,0,1,0,0,0,0,427
For two decades the affected communities brought suit against Texaco (and subsequently Chevron).,1,0,0,0,0,0,0,0,0,497
"Consistent with the timing of the global stock-takes under the Paris Agreement, Chevron has set metrics for 2023 and 2028 and intends to do so every five years thereafter.",0,0,1,0,0,1,0,0,0,328
Outside experts have met with your full Board to share their perspectives on climate change and the energy transition.,0,0,0,0,0,1,0,0,0,76
Your Board encourages you to review the reports and other materials described above.,0,0,0,0,0,1,0,0,0,448
3. Chevron’s membership and payments to any tax-exempt organization that writes and/or endorses model legislation.,0,0,0,0,1,0,0,0,0,4
Investors seek additional information from Chevron to understand the impact of climate-related factors on its business model and current financial reporting.,0,0,0,0,0,1,0,0,0,562
"It is essential, therefore, for Chevron to exercise its fundamental right and responsibility to participate in the public policymaking process.",0,0,0,0,0,1,0,0,0,18
"Our commitment to human rights is reflected throughout our business and in how we conduct ourselves, including in our Human Rights Policy, our Operational Excellence Management System, and our Business Conduct and Ethics Code, all of which are on our website.",0,0,0,0,0,1,0,0,1,613
Chevron agrees that transparency and accountability are important aspects of corporate political activity.,0,0,0,0,0,1,0,0,0,429
The U.S. Holocaust Memorial Museum has reported that the Rohingya remain “at grave risk of additional mass atrocities and even genocide.”,0,0,0,0,0,0,1,0,0,604
"An independent Chair would improve oversight of management, and the attention paid to long-range risks such as those noted above.",0,0,0,0,0,1,0,0,0,286
"Chevron’s Corporate Audit department, which performs the internal audit function at Chevron, conducted a non-rated assurance review of the NZE 2050 scenario analysis, and determined that the analysis was conducted in accordance with established internal process and emerging external guidance.",0,0,0,0,0,1,0,0,0,568
"We regularly analyze alternative scenarios to stress-test our portfolio, and we integrate those learnings to help us remain competitive and resilient in any environment.",0,0,0,0,0,1,0,0,0,569
"The independent oversight of Chevron’s Board leadership is further supported by strong Board refreshment, multidimensional diversity among its Directors, and regular rotation of Committee chairpersons and of the Lead Director, all of which ensures that new perspectives are brought to the selection of Chevron’s Chairman and to other critical Board decisions.",0,0,0,0,0,1,0,0,0,480
"In a separate action, in 2018, an international tribunal administered by the Permanent Court of Arbitration in The Hague issued a unanimous award in favor of Chevron, finding that the Ecuadorian judgment was procured through fraud, bribery, and corruption, and that it was based exclusively on environmental claims settled and released by the Republic of Ecuador years earlier.",1,0,0,1,0,0,0,0,0,518
"Given the time and cost associated with special meetings, your Board believes that these are appropriate and reasonable limitations.",0,0,0,0,0,1,0,0,0,673
"A failure to adequately plan for a low carbon transition, including climate change policy, competition from renewables, peak oil demand, and unburnable fossil fuel reserves, may place investor capital at substantial risk.",1,0,0,1,0,0,0,0,0,65
"Chevron does not agree with all of the positions of every industry, trade or policy organization in which it participates.",0,0,0,0,1,0,0,0,0,130
"Recent reports show that greenhouse gas emissions throughout the petrochemical and plastic supply chain contribute significantly to climate change, thereby exacerbating the threat of physical risks such as storms.",1,0,0,0,0,0,0,0,0,149
"In certain basins, studies have found emissions to be more than 10 times higher than industry disclosed figures.",1,0,0,0,0,0,0,0,0,581
"Chevron belongs to the Business Roundtable (BRT), Chamber of Commerce and National Association of Manufacturers (NAM), which spent $127,448,048 on lobbying for 2018.",0,0,0,0,1,0,0,0,0,409
Chevron’s most recent annual Corporate Political Contributions report and the Chevron Employee Political Action Committee (“CEPAC”) contributions report.,0,0,0,0,0,1,0,0,0,30
A special meeting cannot be called (i) if the Board has already called or will call an Annual Meeting of stockholders for the same purpose specified in the special meeting request or (ii) if an annual or special meeting was held not more than 12 months before the request for a special meeting was received and included the purpose specified in the special meeting request.,0,0,0,0,1,0,0,0,0,252
"Expectations continue to rise, and responding to these expectations is a responsibility Chevron takes seriously.",0,0,1,0,0,1,0,0,1,382
"Your Board does recognize the importance of independent oversight of the CEO and management, and it has instituted structures and practices to enhance such oversight.",0,0,0,0,0,1,0,0,0,473
"With this oversight framework, our strategic plans reflect management’s best assessment of the longer-term outlook on supply, demand and commodity prices and its judgment in deploying the Company’s strategy in that environment.",0,0,0,0,0,1,0,0,0,573
"The independent oversight of Chevron’s Board leadership is further supported by strong Board refreshment, multidimensional diversity among its Directors, and regular rotation of Committee chairpersons and of the Lead Director, all of which ensures that new perspectives are brought to the selection of Chevron’s Chairman and to other critical Board decisions.",0,0,0,0,0,1,0,0,0,295
Your Board expects Chevron’s management to continue acting in the best interests of the Company’s stockholders by vigorously defending the Company against this fraudulent action.,0,0,0,0,0,1,0,0,0,268
global and U.S. accounting and auditing standard-setters reiterated that material climate-related risks should be accounted for in company financial statements and audits.,0,0,0,0,0,1,0,0,0,552
"In addition to a lower threshold, the proposal would permit a special meeting without appropriate and reasonable limitations.",0,0,0,1,0,0,0,0,0,250
1. Supporting a price on carbon through well-designed policies;,0,0,1,0,0,1,0,0,0,333
"Deputy Controller Rex Mitchell testified, under oath, that such seizures of Company assets “would cause significant, irreparable damage to Chevron’s business reputation and business relationships.”",0,0,0,0,0,0,1,0,0,458
"When Chevron acquired Texaco in 2001, it inherited significant legal, financial, and reputational liabilities that stemmed from pollution of the water and lands of communities in the Ecuadorian Amazon.",1,0,0,0,0,0,1,0,0,231
"These concerns reflect a converging consensus by policymakers, investors, and companies on growing climate risk, the need to limit global temperature increase to 1.5° C (net zero global greenhouse gas (GHG) emissions by 2050), and the impact of such actions to companies.",0,0,1,0,0,0,0,0,0,554
Trade associations also provide a venue for Chevron to engage with other companies and industry experts.,0,0,0,0,0,1,0,0,0,426
"Flooding from Hurricane Harvey in 2017 resulted in CPChem plant shut downs and the release of unpermitted, unsafe levels of pollutants.",1,0,0,0,0,0,0,0,0,146
"Also, Chevron is listed on the New York Stock Exchange, which requires, among other things, that listed companies obtain stockholder approval for equity compensation plans and significant issuances of equity securities to related parties and for when such issuances represent more than 20% of an issuer’s voting power.",0,0,0,0,0,1,0,0,0,676
"Currently, the Board has determined to appoint Michael K. Wirth to serve as CEO and as Chairman of the Board.",0,0,0,0,1,0,0,0,0,291
"Although the proposal purports to relate to the Board’s leadership structure, the supporting statement makes clear that the proposal is fundamentally a vehicle to discuss the Ecuador litigation and related actions against Chevron.",0,0,0,0,1,0,0,0,0,297
Chevron agrees that transparency and accountability are important aspects of corporate political activity.,0,0,0,0,0,1,0,0,0,24
"Your Board recommends a vote AGAINST this proposal because your Board believes that stockholder interests are best served when Directors have the flexibility to determine the best person to serve as Chairman, recognizing that no single leadership model is appropriate in all circumstances.",0,0,0,0,1,0,0,0,0,288
The OEMS includes assurance and audit programs to assess compliance with internal and external requirements.,0,0,0,0,0,1,0,0,0,213
Shareholders urgently need a reasonable 10% threshold to call special meetings.,0,0,0,0,0,1,0,0,0,241
Their experience comes from the academic and business sectors.,0,0,0,0,1,0,0,0,0,92
"Chevron’s climate risk reports have downplayed significant factors, such as potential competition from low-carbon energy technologies.",1,0,0,1,0,0,0,0,0,463
"Proponents recommend that in issuing the report, the company take account of information on: Assumptions, costs, estimates, and valuations that may be materially impacted; and The potential for widespread adoption of net-zero goals by governments and peers.",0,0,0,0,1,0,0,0,0,357
"Therefore, your Board recommends that you vote for this proposal.",0,0,0,0,0,1,0,0,0,596
Chevron stated that Hurricane Harvey is the primary reason for lower earnings of $70 million from CPChem in 2017.,1,0,0,0,0,1,0,0,0,151
"This is embedded in the Company’s culture, policies and processes, which are designed to ensure its business is conducted in a socially and environmentally responsible manner.",0,0,1,0,0,1,0,0,1,199
"Together, Total and Chevron have a majority controlling interest in Yadana project.",0,0,0,0,1,0,0,0,0,598
The policies of energy companies—the largest greenhouse gas (GHG) emitters—are crucial to confronting the climate crisis.,0,0,1,0,0,0,0,0,0,525
Such an approach would put the Company at a competitive disadvantage and would unnecessarily limit the benefits associated with Chevron’s participation in the public policymaking process through engagement with a broad array of stakeholders.,0,0,0,0,0,1,0,0,0,137
The associations on this list represent 96 percent of the Company’s annual trade association expenditures.,0,0,0,0,0,1,0,0,0,14
See also “Board Leadership Structure” on page 21.,0,0,0,0,1,0,0,0,0,476
"The Company’s governance of climate change–related issues is described in its 2018 Climate Change Resilience Report and the February 2019 supplement, which are on Chevron’s website.",0,0,1,0,0,1,0,0,0,70
"As part of this, and as you will see from our support of Proxy Item 7, Chevron is committed to detecting and mitigating methane emissions.",0,0,1,0,0,1,0,0,0,549
"The Company’s strategies, such as those outlined above, are intended to drive higher returns and lower carbon.",0,0,1,0,0,1,0,0,0,343
The Nominating and Governance Committee identifies and recommends prospective Directors with the goal of maintaining a Board composition appropriate to overseeing the wide-ranging risks affecting Chevron.,0,1,0,0,0,1,0,1,0,88
For two decades the affected communities brought suit against Texaco (and subsequently Chevron).,0,0,0,0,0,0,1,0,0,232
"Chevron’s Human Rights Policy, available on its website, reinforces Chevron’s commitment to respecting human rights.",0,0,0,0,0,1,0,0,1,204
"Resolved: Shareholders request that the Board of Directors commission and publicly disclose the findings of an independent racial equity audit, analyzing if, and how, Chevron’s policies and practices discriminate against or disparately impact communities of color.",0,0,0,0,0,1,1,0,0,619
"The National Unity Government of Myanmar, made up of elected officials and civil society leaders, has called on the oil companies operating in Myanmar to withhold from the military junta and place in escrow any payments due to the Myanmar government.",0,0,0,0,0,1,0,0,1,606
"Neither the arbitration held in the Netherlands under a bilateral investment treaty, nor any court since has ruled on Chevron’s assertion that the Ecuadorian Judgment resulted from fraud.",0,0,0,0,1,0,0,0,0,659
"At Chevron’s last eight Annual Meetings, an average of 73 percent of votes cast opposed this proposal.",0,0,0,0,1,0,0,0,0,9
Chevron is committed to an honest conversation about the energy transition.,0,0,0,0,0,1,0,0,0,540
"Stockholders can be assured that their right to be apprised of and vote on significant matters is protected not only by their existing right to call for special meetings and participate in Chevron’s Annual Meeting, but also by state law and other regulations.",0,0,0,0,0,1,0,0,0,674
"Companies that do not manage methane emissions jeopardize other industry decarbonization efforts, and risk their reputation and license to operate, as investors, regulators and civil society are setting expectations to address this issue.",0,0,1,0,0,1,0,0,1,582
Each governing jurisdiction determines its own regulations regarding lobbying compliance and also establishes the policies and guidelines associated with reporting and disclosure.,0,0,0,0,0,1,0,0,0,27
"Therefore, your Board recommends that you vote AGAINST this proposal.",0,0,0,1,0,0,0,0,0,95
"Chevron’s processes for managing enterprise risk are already subject to robust Board oversight, as described in the Climate Change Resilience Report available on Chevron’s website.",0,0,1,0,0,1,0,0,0,307
Chevron analyzes how various factors may combine to create alternative scenarios to stress-test its portfolio and integrate learnings into its decision making to remain competitive and resilient under multiple scenarios.,0,0,0,0,0,1,0,0,0,361
CEO/board chair Michael Wirth’s statements regarding the Ecuador Judgment were challenged in a House Oversight Committee where a Member observed that Wirth told shareholders “[there] was no scientific evidence of contamination.”,0,0,0,0,0,0,1,0,0,661
"On August 8, 2016, the U.S. Court of Appeals for the Second Circuit unanimously affirmed the SDNY’s findings, noting that “the record in the present case reveals a parade of corrupt actions…, including coercion, fraud and bribery, culminating in the promise to [the] Judge of $500,000 from a judgment in favor of the [Ecuadorian plaintiffs].”",0,0,0,1,0,0,0,0,0,300
"As of December 2020, Chevron Corporation had neither committed to net-zero emissions by 2050 across its value chain, nor disclosed how its financial assumptions would change from doing so.",1,0,0,1,0,0,0,0,0,347
"In an unprecedented move, Chevron harassed and subpoenaed stockholders who questioned the advisability of the Company’s legal strategy.",0,0,0,1,0,0,0,0,0,236
Chevron already discloses extensive information about its lobbying activities as well as its political contributions.,0,0,0,0,0,1,0,0,0,112
